TripID	PIN	booking_status
1	856332	Confirmed
1	721268	Cancelled
1	802310	Cancelled
2	808809	Cancelled
2	874736	Pending
4	988687	Cancelled
4	792637	Pending
6	969541	Pending
7	300053	Pending
7	755562	Cancelled
7	760311	Cancelled
7	859669	Pending
8	464918	Confirmed
8	484102	Confirmed
8	950080	Cancelled
9	510980	Pending
10	833695	Pending
10	872891	Cancelled
10	674267	Cancelled
11	949777	Pending
11	747158	Pending
14	395858	Pending
14	506314	Confirmed
15	696611	Cancelled
16	153433	Pending
16	329823	Confirmed
17	628584	Confirmed
22	132482	Pending
22	714520	Cancelled
24	228523	Confirmed
24	499377	Confirmed
25	513366	Pending
25	653505	Confirmed
25	672329	Confirmed
27	422280	Cancelled
27	164035	Cancelled
27	657719	Pending
27	347815	Confirmed
28	962165	Confirmed
29	571426	Pending
30	217706	Pending
31	999997	Cancelled
32	596040	Cancelled
32	583913	Cancelled
32	425952	Cancelled
32	781365	Cancelled
33	383335	Pending
33	450058	Cancelled
34	262140	Confirmed
34	492895	Confirmed
35	156136	Confirmed
35	171967	Confirmed
35	218010	Cancelled
35	328782	Cancelled
36	617307	Cancelled
36	496319	Cancelled
37	512656	Cancelled
38	719678	Pending
38	119852	Pending
38	287675	Pending
38	229727	Pending
39	628584	Pending
39	161394	Pending
41	842266	Confirmed
42	763993	Confirmed
42	496881	Pending
42	240057	Confirmed
43	821168	Cancelled
46	499377	Pending
47	565701	Cancelled
47	908445	Confirmed
49	703915	Pending
50	696611	Pending
50	995417	Cancelled
50	626967	Confirmed
53	452403	Pending
54	688390	Cancelled
58	909924	Pending
58	700124	Confirmed
60	592174	Cancelled
60	815798	Pending
61	716996	Cancelled
61	175343	Confirmed
61	651133	Cancelled
63	252278	Confirmed
63	505906	Confirmed
64	681944	Confirmed
65	246359	Cancelled
67	902529	Cancelled
67	475580	Confirmed
68	950613	Cancelled
68	908445	Confirmed
69	187417	Pending
70	391773	Confirmed
71	278103	Pending
73	304567	Cancelled
73	203509	Cancelled
74	721268	Confirmed
74	914629	Cancelled
74	269833	Pending
75	908007	Cancelled
75	969541	Cancelled
75	596040	Pending
77	499377	Cancelled
77	600695	Pending
77	556378	Cancelled
77	922997	Pending
78	245274	Cancelled
78	164035	Cancelled
78	171967	Confirmed
78	317311	Cancelled
79	949777	Pending
80	304567	Pending
81	675756	Cancelled
81	922997	Pending
82	123700	Cancelled
85	832856	Cancelled
85	188602	Pending
85	688390	Pending
86	452403	Pending
87	436949	Pending
88	425916	Cancelled
88	545599	Confirmed
88	639825	Cancelled
89	152748	Confirmed
89	155554	Cancelled
90	413515	Cancelled
91	396009	Pending
91	704380	Confirmed
91	933675	Pending
94	976480	Confirmed
95	488460	Pending
95	657719	Cancelled
96	634897	Confirmed
96	413515	Cancelled
98	914736	Confirmed
99	965702	Pending
100	178745	Pending
101	973778	Confirmed
101	859669	Cancelled
101	743585	Pending
101	486877	Confirmed
103	426647	Pending
103	689768	Pending
103	902529	Cancelled
104	861743	Cancelled
104	389796	Confirmed
104	665315	Pending
105	805260	Cancelled
105	918263	Confirmed
106	861743	Cancelled
106	398560	Confirmed
106	556082	Pending
106	410678	Confirmed
107	522513	Confirmed
107	592884	Cancelled
108	682132	Cancelled
111	119852	Cancelled
111	573673	Confirmed
112	988374	Pending
112	106828	Confirmed
114	407189	Cancelled
115	217000	Cancelled
115	592884	Cancelled
116	418362	Pending
117	986705	Pending
118	335184	Confirmed
119	249312	Confirmed
119	592174	Confirmed
119	962140	Confirmed
119	674267	Cancelled
121	788933	Cancelled
121	389591	Pending
123	395858	Confirmed
124	881258	Pending
125	645061	Pending
126	813100	Confirmed
126	600695	Cancelled
128	203509	Cancelled
129	815798	Pending
131	899863	Cancelled
131	425916	Pending
132	899121	Cancelled
132	134930	Confirmed
133	856332	Pending
134	425916	Pending
135	315261	Cancelled
136	960204	Pending
137	916386	Confirmed
138	667263	Cancelled
138	637119	Confirmed
138	523818	Pending
138	909924	Confirmed
143	523749	Confirmed
144	269833	Confirmed
144	284352	Confirmed
144	934991	Confirmed
145	230926	Confirmed
145	333333	Cancelled
147	990442	Confirmed
147	755562	Confirmed
147	820664	Cancelled
147	258536	Confirmed
148	314637	Cancelled
149	887809	Confirmed
150	255839	Confirmed
150	616020	Cancelled
151	156136	Confirmed
152	760311	Cancelled
152	130883	Cancelled
155	573673	Confirmed
155	735553	Cancelled
156	254385	Cancelled
157	298146	Confirmed
158	132231	Cancelled
158	507773	Cancelled
158	179853	Cancelled
158	840037	Confirmed
160	808295	Pending
160	899121	Cancelled
161	762645	Cancelled
162	229727	Cancelled
162	519768	Pending
163	784402	Cancelled
164	700672	Cancelled
164	736639	Cancelled
164	159145	Confirmed
166	253447	Pending
166	389796	Cancelled
167	592884	Cancelled
170	454585	Cancelled
171	342947	Pending
172	395858	Pending
172	592174	Pending
174	697726	Confirmed
174	499377	Confirmed
175	132231	Confirmed
175	976480	Cancelled
177	694617	Pending
177	396618	Confirmed
177	965147	Cancelled
178	413816	Pending
180	543999	Cancelled
180	393870	Cancelled
180	992628	Pending
181	464918	Pending
181	600695	Cancelled
181	389591	Confirmed
184	234488	Confirmed
184	824681	Cancelled
185	396009	Confirmed
186	548857	Confirmed
187	899863	Cancelled
188	899262	Cancelled
189	877489	Cancelled
189	361492	Pending
189	431252	Confirmed
190	203509	Cancelled
191	747158	Pending
191	471985	Cancelled
192	777695	Pending
193	569528	Confirmed
193	940586	Pending
195	395858	Confirmed
196	960150	Confirmed
196	592697	Pending
197	146355	Cancelled
198	820664	Confirmed
200	915437	Confirmed
201	988687	Cancelled
202	536106	Confirmed
202	877489	Confirmed
202	907585	Cancelled
204	302331	Confirmed
204	357708	Confirmed
205	899229	Pending
205	718007	Confirmed
