CarID	PIN	color	brand
1	398218	Red	Chevrolet
2	573997	Green	Nissan
3	690761	Green	Audi
4	690761	Red	Subaru
5	690761	Red	Jeep
6	162026	Blue	BMW
7	162026	White	Jeep
8	145785	White	Audi
9	145785	Blue	Mercedes-Benz
10	145785	Green	Audi
11	740161	White	Audi
12	740161	Black	Subaru
13	819670	Black	Jeep
14	819670	Red	Toyota
15	737377	Black	Toyota
16	737377	Black	Toyota
17	737377	White	BMW
18	612096	White	Ford
19	612096	Green	Subaru
20	612096	Blue	Subaru
21	650883	Black	Nissan
22	650883	Black	Nissan
23	650883	Black	Jeep
24	385993	Black	Mercedes-Benz
25	385993	Black	Subaru
26	660921	Black	Nissan
27	505196	Red	Ford
28	505196	Blue	Subaru
29	505196	Blue	BMW
30	870728	Black	Jeep
31	428941	Black	BMW
32	428941	Blue	BMW
33	476570	Blue	Nissan
34	476570	Green	Nissan
35	165640	Black	Nissan
36	339760	Red	Subaru
37	339760	Black	Toyota
38	439334	Black	Nissan
39	439334	Red	Audi
40	561922	Blue	Subaru
41	561922	Blue	Chevrolet
42	561922	Blue	Subaru
43	830388	Black	Mercedes-Benz
44	458434	White	Ford
45	458434	Blue	Toyota
46	458434	Blue	Jeep
47	543810	White	Chevrolet
48	543810	Green	Toyota
49	220778	Black	Subaru
50	220778	Blue	Toyota
51	220778	Blue	Jeep
52	838323	White	Jeep
53	838323	Blue	Audi
54	181885	Green	Subaru
55	485825	Black	Audi
56	485825	Green	BMW
57	230568	White	Toyota
58	230568	Green	Jeep
59	403642	Black	Chevrolet
60	396496	Blue	BMW
61	396496	Black	Subaru
62	396496	Black	Nissan
63	859018	Blue	Subaru
64	183118	Blue	Nissan
65	896399	Blue	Jeep
66	896399	White	Honda
67	896399	Red	BMW
68	776956	Red	Jeep
69	557890	Black	BMW
70	807640	Red	Ford
71	829221	White	BMW
72	829221	Red	Mercedes-Benz
73	829221	Black	Nissan
74	873341	Green	Chevrolet
75	873341	Black	Nissan
76	846887	Green	Toyota
77	846887	Green	Chevrolet
78	471871	Black	Chevrolet
79	471871	Green	Nissan
80	471871	Green	Nissan
81	528384	Red	Mercedes-Benz
82	528384	Red	Chevrolet
83	528384	Red	Audi
