PIN	rating
140798	2.5
398218	2.1
573997	2.0
690761	1.9
162026	3.9
965906	4.9
145785	2.5
740161	2.7
450150	1.9
645443	2.5
819670	2.7
737377	4.5
168848	2.8
879306	4.3
612096	3.9
650883	2.1
385993	4.2
660921	4.5
505196	4.6
870728	4.5
428941	3.5
614119	3.8
476570	2.3
165640	4.8
356099	2.4
339760	4.6
439334	2.8
561922	2.1
830388	1.0
426264	4.9
458434	1.6
543810	3.2
323475	3.8
220778	3.8
838323	3.7
181885	1.3
485825	4.5
508736	1.9
230568	3.3
403642	1.6
396496	2.6
859018	1.9
183118	3.7
896399	3.7
776956	1.6
557890	2.7
807640	2.8
850804	3.1
829221	3.4
605006	4.5
804967	1.4
392043	1.5
604226	4.4
873341	2.4
954542	1.3
846887	3.1
471871	2.6
528384	4.8
881685	2.0
463237	1.2
713660	2.3
201871	4.7
250972	2.3
211085	1.9
912575	1.2
519660	1.7
550501	2.6
496960	4.7
703766	2.6
104016	3.2
372386	3.3
138373	1.7
403278	3.8
282229	3.3
612078	4.7
484503	2.6
671290	4.9
487434	3.1
464159	2.0
973273	4.3
933286	1.8
533362	4.1
106866	4.4
583610	4.0
137381	4.0
890447	4.2
468143	3.7
685822	1.1
939136	3.0
322938	4.4
471731	1.5
910664	3.7
732868	2.8
470266	4.2
296911	4.3
887923	3.3
252825	3.2
519519	1.7
152351	4.9
778829	4.8
720112	4.2
867311	2.1
502955	3.7
895791	2.9
972499	4.0
821901	2.0
188537	1.4
792313	1.8
741974	2.7
405266	1.8
293970	1.9
668702	1.1
487065	1.0
962271	2.4
527054	4.7
291590	3.5
355119	3.9
243534	3.5
206720	3.2
793609	4.0
904986	2.2
927958	3.5
974127	4.4
298450	1.2
863264	2.2
341013	2.2
242535	2.7
220505	5.0
811497	2.0
957048	2.9
814756	2.4
153262	2.9
535667	2.2
975224	4.9
480613	3.7
742007	3.8
667706	5.0
403340	3.9
670582	4.8
108749	2.0
276685	4.9
856289	3.6
879155	1.9
650992	3.1
561831	3.1
711588	1.3
729046	3.6
814792	1.8
971204	2.8
864177	1.4
643541	1.8
698922	2.9
996597	3.8
290059	1.6
549063	2.1
240585	3.7
401651	2.4
140624	4.8
789357	2.5
542577	4.7
205462	4.8
920606	3.1
583515	2.0
927681	4.4
540112	1.2
488137	1.6
359669	4.4
768308	1.3
289112	3.9
185413	1.2
631704	2.1
494233	2.5
982279	4.2
118707	3.9
604517	1.2
574367	2.5
533162	3.7
646074	4.6
520394	2.5
381673	4.3
452065	1.5
259898	5.0
480587	1.4
767850	4.2
218523	4.9
734228	2.6
755213	1.7
504636	3.4
404937	3.2
909029	1.3
845302	1.5
316310	1.3
991087	3.8
553325	4.3
714073	4.7
564189	5.0
533507	4.4
815745	2.6
164932	1.1
532390	2.9
530722	1.6
961202	3.4
567170	1.5
636926	1.6
287736	1.4
258332	4.3
847089	2.4
459405	2.4
901630	4.0
194960	2.2
191549	2.8
119388	3.1
242981	4.7
658572	3.8
514372	2.7
251533	2.8
987961	2.9
922063	1.1
850420	1.4
317016	3.5
183170	4.5
422820	1.5
607121	3.5
954761	3.1
409351	1.1
937920	3.2
807014	2.0
801474	4.0
715140	4.2
926021	3.1
110601	3.1
981431	3.0
146019	4.6
942039	1.3
288644	4.5
683008	4.8
608200	4.5
388267	4.7
775938	3.6
278730	1.3
423240	4.0
657186	3.4
274658	4.9
112592	3.2
837953	3.9
613818	2.1
759014	2.6
981941	1.5
982810	1.6
140330	3.0
213573	2.4
807476	4.0
946780	2.6
557115	2.4
125608	3.0
357141	3.2
918855	2.5
671232	3.5
354495	3.7
311955	2.2
213146	3.6
154144	1.4
336231	2.6
171346	2.7
102417	2.6
261055	2.5
576585	3.4
997594	1.7
361398	4.1
221771	2.9
858979	4.2
431432	1.1
984108	4.3
658558	3.6
114893	2.6
347198	1.7
247298	3.6
764676	3.1
566475	3.3
559850	1.6
922533	2.1
558804	3.5
621215	1.1
675352	2.5
650940	2.6
222784	1.8
531559	2.8
992701	4.9
208534	2.8
796988	3.9
118093	2.6
178101	2.1
312575	1.6
587380	1.4
205706	4.6
279641	1.5
733252	4.3
209601	4.0
729783	3.8
152315	4.0
956258	2.0
569528	4.6
903965	4.4
648910	4.0
488597	4.5
806324	3.5
416366	1.8
222143	2.4
956035	2.7
226765	4.4
624041	4.4
804097	2.3
486326	3.8
317532	2.1
106828	3.5
727972	3.8
150379	2.7
178677	3.3
420583	1.9
407189	4.5
123700	2.2
161394	1.0
222596	3.2
722335	4.0
410678	3.3
684888	1.9
689062	4.6
348761	4.2
637119	1.3
865587	1.4
777866	1.9
836379	4.9
696403	2.8
884288	3.3
511911	2.3
399379	3.6
386808	3.1
254385	4.0
697726	1.4
950080	1.3
845722	4.7
122454	2.0
464918	1.2
561814	1.2
933675	2.1
704380	4.2
166188	4.0
365065	2.3
934991	2.6
523749	4.6
848910	3.5
247760	4.6
621223	4.2
723263	2.1
525394	1.9
506314	3.8
323323	4.4
556082	4.9
960204	1.8
188245	1.1
583913	4.0
914736	3.5
339429	4.3
950613	2.8
130883	4.4
990442	3.0
242780	4.1
991173	4.1
354514	2.5
636748	1.6
405487	3.8
899229	3.1
760311	2.6
828342	3.5
294348	4.4
851717	2.4
941516	3.8
961151	1.5
367280	2.1
499815	3.8
195102	2.0
571009	3.9
500901	3.3
661428	2.9
899863	4.1
203509	2.3
824681	1.7
635323	3.6
302331	2.1
714520	5.0
899814	3.3
178663	2.4
581483	2.3
533177	4.1
343348	1.6
200880	4.4
251498	4.7
273680	1.9
329823	1.7
333843	3.3
