PIN	membership_status
522513	None
125567	Bronze
319315	None
277969	Bronze
393870	Silver
488460	Silver
603867	Bronze
358117	Gold
597346	Bronze
234488	None
294687	Bronze
939276	Bronze
622933	Bronze
102335	Bronze
991133	None
973491	None
755812	None
822266	Bronze
512738	Bronze
865616	Gold
283112	Bronze
788933	None
592174	Gold
418362	Silver
184484	Silver
743585	Gold
525051	Bronze
253447	Silver
475580	Gold
315261	Gold
400767	Gold
718373	Bronze
250564	None
181915	Silver
657719	None
912792	Gold
795607	Gold
667263	Silver
805260	Bronze
746543	Gold
738423	Bronze
284352	Silver
515759	Bronze
191283	Bronze
768137	Silver
415003	Silver
334498	None
188771	Bronze
687575	Silver
694617	None
400177	Gold
872825	Bronze
233023	Bronze
715104	Silver
454585	Gold
821168	Bronze
132231	Bronze
640270	None
164035	Bronze
122459	Gold
342947	Gold
491153	Silver
517476	Silver
281562	Bronze
683424	Bronze
976480	None
682132	Bronze
347815	Silver
920168	Gold
895585	Bronze
988687	Silver
507773	None
417193	Gold
758285	Gold
940586	Bronze
492895	Gold
982211	Bronze
486877	Gold
898441	None
474980	Silver
262709	Silver
137748	Gold
256867	Bronze
392868	Bronze
246359	Gold
252278	None
842266	None
486470	Gold
728585	Silver
714971	Gold
269833	Silver
665315	Bronze
565701	None
422280	None
471570	Gold
911588	None
792637	Bronze
681363	Gold
859669	None
539225	Bronze
820664	None
450058	None
115073	Silver
121292	None
560569	Bronze
916386	Gold
482086	Bronze
605208	Silver
957118	Bronze
941300	Bronze
793434	Gold
887809	None
923322	Bronze
551581	None
498442	Bronze
359032	Silver
971118	Silver
228523	Silver
651133	Gold
149976	Bronze
397731	Gold
467067	Silver
252137	None
675756	Bronze
472690	Silver
352524	Bronze
909924	Bronze
882042	Bronze
625765	Gold
685431	Gold
908508	Gold
293417	Bronze
786536	Silver
573673	Bronze
672329	None
141424	Silver
723896	Silver
567575	Bronze
242515	Bronze
682733	None
783401	Gold
556378	Gold
413816	None
914629	None
178096	Silver
112797	Bronze
321117	None
512567	None
383632	Gold
942646	Bronze
107307	Gold
283369	None
386318	None
185513	Gold
335184	Silver
328782	Bronze
287675	Bronze
777695	Bronze
826447	Silver
505713	Gold
965702	None
922751	None
974302	None
121316	Gold
558409	Bronze
816527	None
736639	None
490395	None
370663	Bronze
601985	None
347516	Bronze
805547	Gold
286760	Silver
469132	Bronze
742766	Gold
189457	Bronze
994779	Bronze
412383	Gold
718777	Silver
403965	Gold
429639	Bronze
931443	None
615414	None
965147	Silver
865092	Bronze
460499	Silver
467117	None
110787	Bronze
862600	Silver
616020	Bronze
157580	Gold
425952	Silver
361492	Bronze
245274	Bronze
396009	Bronze
785061	None
431248	Gold
134330	Silver
119852	None
923793	Bronze
962140	Gold
922997	Bronze
571750	Bronze
808809	Silver
803527	Gold
720127	Bronze
908445	None
440197	Bronze
847651	None
477475	Gold
584678	None
132482	Bronze
105323	None
881598	Silver
899262	Bronze
418244	Bronze
742053	None
879425	None
159145	Gold
645061	None
282434	Silver
881258	Gold
892396	Silver
839119	Gold
513366	None
341221	None
444111	Bronze
360128	Silver
519768	Silver
720892	Silver
198802	Bronze
934752	Gold
985312	Silver
696611	Silver
762427	Gold
973778	Bronze
902529	None
773777	Gold
992628	Bronze
505906	Bronze
723385	Silver
395353	Gold
155554	Bronze
440917	Silver
382101	Gold
946277	Gold
141545	None
333335	Bronze
240571	None
899121	Gold
700672	Silver
570283	Bronze
677148	Bronze
400253	None
138464	None
163640	Silver
290286	None
980374	None
