TripID	CarID	date	departure	destination	num_seats_available
1	1	2025-02-09	San Diego	Dallas	4
2	1	2025-02-23	Philadelphia	Phoenix	4
3	1	2024-12-04	Philadelphia	Chicago	1
4	1	2024-12-14	Dallas	Los Angeles	3
5	2	2024-12-30	New York	Chicago	4
6	2	2025-01-30	Philadelphia	Phoenix	2
7	2	2024-12-16	Philadelphia	Dallas	4
8	2	2024-12-24	Chicago	New York	3
9	2	2024-12-14	New York	San Jose	4
10	3	2024-12-15	San Jose	Houston	4
11	4	2025-01-14	Phoenix	San Jose	3
12	4	2025-02-23	New York	Chicago	3
13	4	2025-01-28	Philadelphia	San Jose	1
14	5	2025-01-30	San Jose	Los Angeles	3
15	5	2025-01-31	Los Angeles	Phoenix	1
16	6	2024-12-26	Phoenix	San Jose	2
17	6	2025-01-22	San Diego	Houston	2
18	7	2025-01-31	San Antonio	New York	1
19	7	2024-12-22	San Jose	Philadelphia	1
20	7	2024-12-16	Houston	Dallas	2
21	8	2025-01-23	Los Angeles	New York	4
22	8	2025-01-21	Phoenix	Philadelphia	4
23	8	2024-12-06	Houston	New York	4
24	8	2024-12-02	Houston	San Antonio	3
25	9	2024-12-15	Chicago	Los Angeles	3
26	9	2025-02-24	New York	San Jose	2
27	9	2024-12-19	Dallas	San Jose	4
28	9	2025-01-06	Dallas	San Antonio	3
29	10	2024-12-26	San Diego	Phoenix	2
30	10	2025-01-11	San Jose	Los Angeles	1
31	10	2024-12-04	San Jose	Los Angeles	1
32	10	2025-02-20	San Jose	New York	4
33	10	2025-02-22	Houston	Phoenix	3
34	12	2025-02-16	Phoenix	San Antonio	3
35	12	2025-01-18	Dallas	Philadelphia	4
36	12	2024-11-29	San Jose	Dallas	3
37	13	2025-02-12	New York	San Diego	4
38	13	2025-01-25	Houston	San Jose	4
39	13	2024-12-31	San Diego	San Antonio	2
40	13	2024-12-06	San Jose	San Antonio	1
41	13	2025-01-06	Dallas	Phoenix	4
42	14	2025-02-14	Chicago	Los Angeles	3
43	14	2025-01-22	Los Angeles	Dallas	3
44	14	2025-01-27	Phoenix	Chicago	3
45	14	2024-11-29	Houston	San Diego	2
46	14	2024-12-11	San Jose	Los Angeles	1
47	15	2025-01-25	Phoenix	Los Angeles	4
48	15	2025-02-09	Chicago	New York	1
49	16	2025-02-02	New York	Los Angeles	2
50	17	2025-02-18	San Antonio	San Jose	3
51	17	2025-01-04	San Antonio	Philadelphia	4
52	17	2025-01-11	San Jose	New York	2
53	17	2025-01-26	Chicago	Houston	1
54	17	2025-01-05	Los Angeles	Phoenix	1
55	18	2024-12-22	Los Angeles	Phoenix	2
56	19	2024-12-19	San Diego	Phoenix	1
57	19	2025-01-09	New York	San Diego	4
58	19	2024-11-29	San Diego	Houston	4
59	21	2025-02-12	Chicago	Philadelphia	1
60	23	2024-12-28	San Jose	San Diego	4
61	23	2024-11-30	Dallas	Chicago	4
62	23	2025-02-18	New York	San Jose	2
63	23	2025-02-16	San Diego	Houston	4
64	24	2024-12-28	San Jose	Houston	1
65	24	2024-12-31	San Jose	Los Angeles	4
66	24	2025-01-30	Chicago	San Diego	3
67	24	2025-01-27	Dallas	Chicago	4
68	24	2025-01-28	Philadelphia	San Antonio	2
69	25	2024-12-08	New York	San Diego	3
70	25	2024-12-05	Chicago	Houston	4
71	26	2024-12-15	San Antonio	Dallas	1
72	26	2025-01-31	Dallas	San Jose	3
73	26	2025-01-20	Chicago	Phoenix	4
74	26	2024-11-30	Dallas	New York	3
75	27	2025-02-17	New York	San Jose	3
76	28	2025-02-17	San Antonio	Phoenix	3
77	28	2024-12-11	San Diego	Chicago	4
78	29	2025-02-10	Dallas	San Jose	4
79	29	2025-02-15	Chicago	Phoenix	1
80	29	2025-01-25	Chicago	San Antonio	4
81	29	2025-01-14	Los Angeles	Dallas	3
82	30	2024-12-28	Los Angeles	Phoenix	4
83	30	2024-12-13	New York	Chicago	4
84	30	2025-02-04	Houston	Philadelphia	4
85	30	2025-01-09	San Diego	New York	3
86	31	2024-12-06	Los Angeles	San Antonio	1
87	31	2025-01-24	New York	Philadelphia	1
88	31	2025-02-18	San Antonio	Los Angeles	4
89	31	2024-12-11	Los Angeles	Philadelphia	3
90	32	2024-12-01	Houston	Phoenix	1
91	32	2024-12-19	New York	Chicago	3
92	32	2025-01-29	Houston	San Antonio	3
93	32	2024-12-21	San Antonio	Phoenix	2
94	32	2024-12-07	Chicago	San Jose	1
95	33	2024-12-11	Philadelphia	Houston	3
96	33	2025-01-26	San Jose	San Diego	3
97	34	2025-02-03	Philadelphia	Chicago	1
98	34	2024-12-16	Phoenix	San Diego	1
99	34	2025-01-17	Philadelphia	Chicago	1
100	34	2025-01-22	Chicago	Philadelphia	2
101	34	2025-02-24	Los Angeles	Dallas	4
102	35	2025-01-27	Dallas	San Diego	1
103	35	2024-12-19	Houston	Los Angeles	3
104	36	2025-01-16	Dallas	Chicago	3
105	36	2025-01-11	New York	Chicago	4
106	36	2025-01-02	San Jose	Dallas	4
107	36	2025-01-13	San Diego	Chicago	2
108	36	2024-12-23	Philadelphia	Los Angeles	2
109	37	2025-02-18	Chicago	Phoenix	2
110	38	2025-01-06	San Antonio	New York	1
111	38	2024-12-23	San Diego	Dallas	2
112	39	2024-12-12	Phoenix	Philadelphia	2
113	39	2025-01-18	San Jose	Houston	1
114	39	2025-01-24	San Diego	Houston	3
115	39	2025-01-09	Chicago	Houston	2
116	40	2025-01-31	Phoenix	Dallas	3
117	41	2024-12-22	New York	Houston	4
118	41	2024-11-29	Philadelphia	San Antonio	3
119	41	2025-01-13	Dallas	San Jose	4
120	42	2024-12-03	Los Angeles	Philadelphia	2
121	42	2024-12-18	Houston	San Antonio	2
122	43	2025-01-22	New York	Phoenix	1
123	43	2024-12-09	San Diego	Chicago	1
124	43	2024-12-12	Phoenix	Chicago	3
125	43	2024-12-17	Philadelphia	Chicago	1
126	44	2024-12-05	Phoenix	Dallas	2
127	44	2024-12-24	Chicago	San Jose	1
128	44	2025-01-22	Philadelphia	Chicago	2
129	44	2024-12-28	San Jose	Los Angeles	3
130	44	2025-01-31	New York	Houston	1
131	45	2025-01-09	New York	San Antonio	3
132	45	2024-11-28	Philadelphia	Los Angeles	2
133	45	2025-02-05	Chicago	San Antonio	3
134	45	2025-01-13	Phoenix	Houston	2
135	46	2025-01-17	San Diego	San Jose	2
136	46	2025-01-18	Houston	New York	4
137	46	2025-01-01	New York	Dallas	1
138	46	2025-01-03	Chicago	Houston	4
139	47	2025-01-02	Philadelphia	Dallas	2
140	48	2024-12-20	Philadelphia	San Diego	2
141	48	2025-02-14	San Antonio	San Diego	1
142	48	2024-12-25	New York	Los Angeles	2
143	49	2025-01-02	San Jose	New York	1
144	49	2025-01-31	San Antonio	San Diego	4
145	49	2024-12-27	Philadelphia	New York	3
146	50	2024-12-10	Dallas	Phoenix	3
147	50	2025-02-19	San Antonio	Chicago	4
148	50	2025-02-09	Chicago	Philadelphia	4
149	51	2025-02-21	San Diego	Phoenix	1
150	51	2024-12-18	Dallas	San Jose	2
151	54	2025-01-22	San Antonio	Chicago	1
152	54	2024-11-28	Dallas	New York	4
153	54	2025-01-09	Chicago	Dallas	1
154	54	2025-01-23	Los Angeles	Phoenix	2
155	55	2025-02-10	San Antonio	Los Angeles	2
156	55	2025-02-12	San Jose	New York	1
157	56	2025-01-20	New York	San Antonio	2
158	56	2025-02-13	Phoenix	San Jose	4
159	56	2024-12-14	Houston	Philadelphia	2
160	57	2024-12-26	Phoenix	Los Angeles	2
161	57	2025-01-17	New York	San Antonio	4
162	57	2024-12-03	San Antonio	Dallas	3
163	58	2025-01-14	Dallas	San Jose	1
164	59	2025-02-22	San Antonio	San Jose	4
165	59	2025-02-05	Houston	Los Angeles	1
166	59	2024-12-19	Chicago	San Antonio	2
167	60	2025-01-12	New York	San Diego	1
168	61	2025-01-25	Philadelphia	San Antonio	1
169	62	2025-01-13	Philadelphia	Los Angeles	1
170	62	2025-02-12	San Diego	Chicago	1
171	62	2025-02-13	Phoenix	Philadelphia	3
172	62	2024-12-19	New York	San Diego	2
173	62	2025-02-04	San Diego	Dallas	1
174	63	2025-02-10	Houston	Chicago	4
175	63	2025-01-19	Los Angeles	New York	4
176	63	2025-01-16	Los Angeles	Philadelphia	1
177	63	2025-02-18	San Diego	Chicago	4
178	64	2025-02-01	San Diego	Los Angeles	4
179	64	2024-12-20	San Diego	Los Angeles	4
180	64	2024-12-04	Chicago	San Diego	4
181	64	2025-01-24	Phoenix	Philadelphia	3
182	67	2024-12-11	Phoenix	Chicago	1
183	67	2025-01-12	Houston	San Diego	2
184	68	2025-02-01	San Diego	Houston	2
185	68	2025-01-31	Houston	San Antonio	1
186	69	2024-12-16	Phoenix	San Jose	2
187	69	2024-12-24	Houston	New York	2
188	70	2024-12-01	San Diego	Chicago	3
189	70	2024-12-08	San Antonio	Houston	3
190	70	2024-12-02	New York	San Antonio	1
191	70	2025-02-17	Chicago	Houston	2
192	70	2025-02-21	Dallas	Phoenix	1
193	72	2024-12-18	San Jose	San Antonio	3
194	73	2025-02-21	Houston	Chicago	1
195	73	2025-02-01	Los Angeles	Philadelphia	2
196	73	2025-01-12	San Jose	Houston	2
197	73	2025-01-26	New York	San Jose	1
198	73	2024-11-29	Philadelphia	Los Angeles	2
